lemma,token,tag,morph,picto,picto_bw
,Ihrem,PPOSAT,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\ihr_deinerwachsen.png,
,Ihren,PPOSAT,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\ihr_deinerwachsen.png,
,Ihres,PPOSAT,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\ihr_deinerwachsen.png,
,ihr,PPOSAT,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\ihr_maedchen.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\ihr_maedchenSW.png
,ihre,PPOSAT,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\ihr_maedchen.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\ihr_maedchenSW.png
,ihren,PPOSAT,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\ihr_maedchen.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\ihr_maedchenSW.png
,ihrem,PPOSAT,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\ihr_maedchen.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\ihr_maedchenSW.png
,ihres,PPOSAT,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\ihr_maedchen.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\ihr_maedchenSW.png
,ihr,PPER,"{'Case': 'Dat', 'Person': '3', 'Number': 'Sing', 'Gender': 'Fem'}",METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\ihrwem_maedchen.png,
,in die Schule,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Schule_Foerdereinrichtung\indieschule.png,
,in Kürze,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zeit\gleichinkuerze.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zeit\gleichinkuerzeSW.png
,keine Lust,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\keinenbock.png,
,keinen Bock,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\keinenbock.png,
,komm her,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\kommher2FB.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\kommher.png
,lass uns,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\lassuns.png,
,lieber,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\lieber.png,
,mich,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\mich.png,
,mir,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\mir2.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\mir2SW.png
,mit wem,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\mitwem.png,
,nach Hause,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Haus\nachhause1.png,
,nachhause,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Haus\nachhause1.png,
,niemand,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\niemand.png,
,schlaf gut,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\schlafgut.png,
,schönen Tag,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\schoenentagnoch.png,
,schönes Wochenende,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\schoeneswochenende.png,
,sie,,"{'Case': 'Acc', 'Person': '3', 'Number': 'Sing', 'Gender': 'Fem'}",METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\sie_ak_einzahl.png,
,Sie,,"{'Case': 'Nom', 'Person': '2', 'Number': 'Sing'}",METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\sie_duerwachsen.png,
,sie,,"{'Case': 'Nom', 'Person': '3', 'Number': 'Sing', 'Gender': 'Fem'}",METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\sie_einzahl.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\sie_einzahlSW.png
,sie,,"{'Case': 'Nom', 'Person': '3', 'Number': 'Plur'}",METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\sie_mehrzahl.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\sie_mehrzahlSW.png
,später,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zeit\spaeter.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zeit\spaeterSW.png
,Spielst du mit mir ?,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\spielstdumitmir.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\spielstdumitmirSW.png
,stopp !,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Verhalten\stopprot2.png,
,Tomaten auf den Augen,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\tomatenaufdenaugen.png,
,träum schön,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\traeumwasschoenes.png,
,Treppe hoch,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Haus\treppesteigen.png,
,Treppe rauf,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Haus\treppesteigen.png,
,Treppe runter,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Haus\trepperunter.png,
,tut mir Leid,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\tutmirleid_leidtun.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\tutmirleid_leidtunSW.png
,uns,,"{'Case': 'Dat', 'Person': '1', 'Number': 'Plur'}",METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\uns.png,
,uns,,"{'Case': 'Acc', 'Person': '1', 'Number': 'Plur'}",METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\uns_ak.png,
,Viertel nach,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zeit\viertelnach.png,
,Viertel vor,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Zeit\viertelvordreiviertel.png,
,Was gibt es Neues ?,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wasgibtesneues.png,
,was soll das ?,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\woistproblem_wassolldas.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\woistproblem_wassolldasSW.png
,weiss der Geier,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\weissdergeier.png,
,weisst du was ?,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\weisstduwas.png,
,weitere Fragen,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\weiterfragen.png,
,welche,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\welche.png,
,welchem,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\welchem.png,
,welchen,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\welchen.png,
,welcher,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\welcher.png,
,welches,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\welches.png,
,wem,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wem.png,
,wen,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wen.png,
,weniger,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\weniger2.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\weniger2SW.png
,wer,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wer.png,
,wer ist das ?,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\weristdas.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\weristdasSW.png
,wie bitte,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wiebitte.png,
,wie war,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wiewares.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wiewaresSW.png
,zu spät,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\leiderzuspaet.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\leiderzuspaetSW.png
,zum Beispiel,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\zumbeispiel.png,
aua,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Arzt_Gesundheit\aua.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Arzt_Gesundheit\auaSW.png
Aufwachraum,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Arzt_Gesundheit\aufwachraum.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Arzt_Gesundheit\aufwachraumSW.png
Handverband,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Arzt_Gesundheit\handverband.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Arzt_Gesundheit\handverbandSW.png
Infusionsständer,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Arzt_Gesundheit\infusionsstaenderSW.png,
Kühlkissen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Arzt_Gesundheit\kuehlkissen.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Arzt_Gesundheit\kuehlkissenSW.png
Gefrierdose,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Behaelter_Taschen\gefrierdosebehaelter.png,
Vorlesestift,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Buch_Zeitung\vorlesestift.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Buch_Zeitung\vorlesestiftSW.png
Folienstift,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Buero_Basteln\folienstift.png,
Klebestift,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Buero_Basteln\klebestiftrot.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Buero_Basteln\klebestift.png
Leimstift,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Buero_Basteln\klebestiftrot.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Buero_Basteln\klebestift.png
Pricknadel,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Buero_Basteln\pricknadel_rot.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Buero_Basteln\pricknadelSW.png
Cloud,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Computer\cloud.png,
Firewire,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Computer\firewireSW.png,
FireWire,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Computer\firewireSW.png,
gut Freund,,"{'gut': 'ADJA', 'Freund': 'NN'}",{'gut': {'Degree': 'Sup'}},METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Eigenschaften_Emotionen\bester_bestefreundin2.png,
gut Freundin,,"{'gut': 'ADJA', 'Freundin': 'NN'}",{'gut': {'Degree': 'Sup'}},METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Eigenschaften_Emotionen\bester_bestefreundin2.png,
ehrlich,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Eigenschaften_Emotionen\ehrlich.png,
gekocht,,ADJA,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Eigenschaften_Emotionen\gar.png,
kochen,,VVPP,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Eigenschaften_Emotionen\gar.png,
laut,,,{'Degree': 'Cmp'},METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Eigenschaften_Emotionen\lauterFB.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Eigenschaften_Emotionen\lauter.png
leise,,,{'Degree': 'Cmp'},METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Eigenschaften_Emotionen\leiserFB.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Eigenschaften_Emotionen\leiser.png
schlecht,,,{'Degree': 'Cmp'},METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Eigenschaften_Emotionen\schlechter.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Eigenschaften_Emotionen\schlechterSW.png
ziemlich,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Eigenschaften_Emotionen\ziemlich.png,
200 Franken,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Einkaufen\chf_200franken.png,
200 Euro,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Einkaufen\euro200.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Einkaufen\euro200SW.png
500 Euro,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Einkaufen\euro500.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Einkaufen\euro200SW.png
Aufsitzrasenmäher,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fahrzeuge\aufsitzrasenmaeher.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fahrzeuge\aufsitzrasenmaeherSW.png
Rasentraktor,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fahrzeuge\aufsitzrasenmaeher.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fahrzeuge\aufsitzrasenmaeherSW.png
Schneepflug,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fahrzeuge\schneeraeumfahrzeug.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fahrzeuge\schneeraeumfahrzeugSW.png
Schneeräumfahrzeug,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fahrzeuge\schneeraeumfahrzeug.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fahrzeuge\schneeraeumfahrzeugSW.png
Frau Holle,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fantasie\frau_holle.png,
Pippi,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fantasie\pippi.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fantasie\pippiSW.png
Pippi Langstrumpf,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fantasie\pippi.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fantasie\pippiSW.png
Rapunzel,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fantasie\rapunzel2.png,
Fourth of July,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Feste\independenceday2_engl.png,
Independence Day,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Feste\independenceday2_engl.png,
Nikolausstiefel,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Feste\nikolausstiefel.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Feste\nikolausstiefelSW.png
Knecht Ruprecht,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Feste\schmutzli_knechtruprecht2.png,
Schmutzli,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Feste\schmutzli_knechtruprecht2.png,
Thanksgiving,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Feste\thanksgiving_engl.png,
bis wann,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\biswann.png,
mitmachen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\moechtemitmachen.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\moechtemitmachenSW.png
seit wann,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\seitwann.png,
wann,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wann.png,
wann essen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wannessen.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wannessenSW.png
wann fahren,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wannfahrenwirSW.png,
wann sehen ich sich,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wannsehenwiruns.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wannsehenwirunsSW.png
wann treffen ich sich,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wannsehenwiruns.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wannsehenwirunsSW.png
warum,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\warum.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\warumSW.png
was,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\was.png,
was machen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wasmachstdu.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Fragen\wasmachstduSW.png
